recipe_id,raw_material_id,raw_material_ratio,flavour_id,flavour_ratio,ingredient_id,ingredient_ratio,heat_process,yield,generation_date,batch_number
T1GT,70,0.48,253,0.32,52,0.2,,92.13,5/5/24,1
VRMG,198,0.32,35,0.67,44,0.01,,94.82,5/5/24,1
82HI,167,0.21,66,0.74,174,0.05,,95.73,5/5/24,1
EW56,167,0.98,431,0.01,159,0.01,,91.1,5/5/24,1
97RP,43,0.34,282,0.37,228,0.29,70°C for 10 min,98.83,5/5/24,1
7UI6,90,0.27,415,0.67,54,0.06,,94.63,5/5/24,1
H8R7,6,0.57,317,0.42,160,0.01,,97.2,5/5/24,1
0EPS,105,0.8,195,0.19,244,0.01,70°C for 10 min,97.07,5/5/24,1
F72F,12,0.44,114,0.3,181,0.26,,94.78,5/5/24,1
LX83,43,0.4,20,0.47,165,0.13,,91.55,5/5/24,1
IYLI,57,0.43,127,0.56,299,0.01,Freezing for 20 min,97.53,5/5/24,1
L3HK,167,0.37,186,0.16,277,0.47,,21.14,5/5/24,1
VHDQ,18,0.37,414,0.62,155,0.01,,98.7,5/5/24,1
D40Y,185,0.97,282,0.02,244,0.01,,95.51,5/5/24,1
75ON,113,0.35,56,0.64,204,0.01,50°C for 10 min,90.93,5/5/24,1
2IEY,20,0.85,167,0.14,171,0.01,,99.87,5/5/24,1
TQJM,198,0.27,126,0.68,219,0.05,,94.19,5/5/24,1
9MPC,1,0.83,479,0.16,19,0.01,,92.77,5/5/24,1
8GJ6,34,0.12,228,0.65,27,0.23,,97.81,5/5/24,1
7G9Q,40,0.79,152,0.2,155,0.01,,97.91,5/5/24,1
6J1O,175,0.76,408,0.23,259,0.01,,48.67,5/5/24,1
TOSY,74,0.68,168,0.31,154,0.01,Freezing for 20 min,91.97,5/5/24,1
HAK8,167,0.89,80,0.1,26,0.01,,96.87,5/5/24,1
73R8,12,0.79,320,0.2,296,0.01,Freezing for 20 min,90.1,5/5/24,1
3TCQ,198,0.58,313,0.02,128,0.4,,95.63,5/5/24,1
ZYP6,171,0.08,58,0.41,136,0.51,50°C for 10 min,92.02,5/5/24,1
0JKM,90,0.92,307,0.05,77,0.03,,99.79,5/5/24,1
CCLV,32,0.49,334,0.5,16,0.01,,93.2,5/5/24,1
WT7I,45,0.59,486,0.4,125,0.01,,98.42,5/5/24,1
Q2EY,45,0.64,468,0.35,200,0.01,,96.51,5/5/24,1
VS4Z,144,0.61,58,0.33,23,0.06,,96.3,5/5/24,1
EINJ,78,0.46,267,0.02,221,0.52,,90.2,5/5/24,1
2Z9O,1,0.4,414,0.59,210,0.01,,38.39,5/5/24,1
WCM1,78,0.24,115,0.63,15,0.13,,94.16,5/5/24,1
N3FA,115,0.84,329,0.15,127,0.01,,92.11,5/5/24,1
OJWN,12,0.96,294,0.03,265,0.01,50°C for 10 min,93.1,5/5/24,1
57JJ,109,0.93,333,0.06,116,0.01,,92.4,5/5/24,1
OO66,160,0.48,371,0.51,174,0.01,,93.46,5/5/24,1
MOD5,113,0.67,82,0.32,85,0.01,Freezing for 20 min,97.69,5/5/24,1
7WRG,70,0.36,295,0.19,172,0.45,,99.12,5/5/24,1
9VH5,77,0.97,59,0.02,199,0.01,,97.45,5/5/24,1
4AOF,87,0.87,381,0.12,254,0.01,,94.97,5/5/24,1
9PJY,169,0.8,176,0.19,27,0.01,,97.89,5/5/24,1
B8OE,9,0.15,73,0.23,7,0.62,,96.67,5/5/24,1
1UF5,76,0.14,177,0.6,196,0.26,,93.72,5/5/24,1
D93F,198,0.47,413,0.52,242,0.01,,96.71,5/5/24,1
FEQG,167,0.53,326,0.46,68,0.01,,91.97,5/5/24,1
FJP7,27,0.64,371,0.16,255,0.2,,91.69,5/5/24,1
HNAQ,76,0.87,37,0.12,92,0.01,Freezing for 20 min,90.52,5/5/24,1
WFKB,5,0.48,288,0.28,171,0.24,20°C for 60 min,92.71,5/5/24,1
XX6G,147,0.59,478,0.4,52,0.01,,91.08,5/5/24,1
1N6P,19,0.51,488,0.48,236,0.01,,96.87,5/5/24,1
RXOD,78,0.09,148,0.86,16,0.05,Steaming,97.85,5/5/24,1
3V2W,184,0.98,484,0.01,274,0.01,,95.08,5/5/24,1
L8RP,27,0.24,493,0.11,29,0.65,50°C for 10 min,97.01,5/5/24,1
DY67,68,0.04,50,0.33,223,0.63,,96.06,5/5/24,1
45PY,167,0.91,407,0.08,67,0.01,20°C for 60 min,96.21,5/5/24,1
QNFO,131,0.16,393,0.02,296,0.82,,99.67,5/5/24,1
12BR,155,0.62,179,0.37,159,0.01,,91.05,5/5/24,1
DCEF,198,0.73,235,0.04,82,0.23,,91.75,5/5/24,1
HEFX,187,0.92,115,0.07,147,0.01,,90.26,5/5/24,1
VERX,58,0.12,382,0.62,18,0.26,,28.44,5/5/24,1
4K80,61,0.16,203,0.06,188,0.78,50°C for 10 min,57.74,5/5/24,1
BT2T,14,0.78,204,0.21,125,0.01,Steaming,97.29,5/5/24,1
YE0J,78,0.24,130,0.36,48,0.4,,99.33,5/5/24,1
XDTR,159,0.21,78,0.19,195,0.6,,96.9,5/5/24,1
374V,50,0.02,302,0.41,138,0.57,,98.35,5/5/24,1
H2OK,167,0.5,389,0.27,28,0.23,,96.82,5/5/24,1
Z7P7,115,0.59,77,0.4,176,0.01,,91.75,5/5/24,1
CI4J,77,0.93,187,0.06,145,0.01,,90.72,5/5/24,1
L2VI,83,0.63,51,0.31,217,0.06,Steaming,92.79,5/5/24,1
XD2D,158,0.79,496,0.2,214,0.01,50°C for 10 min,96.91,5/5/24,1
0QNO,66,0.56,174,0.43,175,0.01,,96.32,5/5/24,1
NH7J,144,0.63,316,0.36,106,0.01,,94.92,5/5/24,1
QO12,83,0.32,74,0.17,28,0.51,,94.13,5/5/24,1
X01L,167,0.79,51,0.2,47,0.01,,92.25,5/5/24,1
51B6,45,0.85,27,0.14,254,0.01,,90.89,5/5/24,1
EDBF,64,0.16,264,0.13,155,0.71,,91.73,5/5/24,1
HGDQ,95,0.88,291,0.11,281,0.01,Steaming,99.74,5/5/24,1
C9WY,152,0.1,432,0.89,200,0.01,20°C for 60 min,55.56,5/5/24,1
Y66Q,33,0.07,263,0.66,100,0.27,Freezing for 20 min,91.76,5/5/24,1
X8JV,184,0.36,434,0.63,279,0.01,,93.88,5/5/24,1
0XU8,5,0.41,486,0.36,123,0.23,,97.52,5/5/24,1
GX5C,7,0.94,452,0.05,11,0.01,,97.23,5/5/24,1
V4A3,90,0.62,18,0.37,200,0.01,,95.83,5/5/24,1
797Z,167,0.66,313,0.33,98,0.01,,95.98,5/5/24,1
LRZZ,26,0.25,481,0.54,172,0.21,50°C for 10 min,92.47,5/5/24,1
SV82,92,0.68,310,0.31,199,0.01,,99.89,5/5/24,1
RSR1,86,0.69,479,0.21,158,0.1,,94.56,5/5/24,1
NVNL,151,0.18,375,0.73,58,0.09,20°C for 60 min,99.2,5/5/24,1
TKO1,45,0.13,331,0.08,254,0.79,20°C for 60 min,91.36,5/5/24,1
D4G9,121,0.55,326,0.1,75,0.35,50°C for 10 min,98.05,5/5/24,1
OBWF,188,0.24,330,0.57,117,0.19,,98.16,5/5/24,1
4LZH,12,0.18,158,0.81,198,0.01,50°C for 10 min,91.93,5/5/24,1
JRCO,179,0.23,159,0.29,6,0.48,,98.53,5/5/24,1
CXHF,45,0.1,152,0.89,140,0.01,,94.18,5/5/24,1
PKHQ,13,0.04,290,0.49,269,0.47,50°C for 10 min,95.73,5/5/24,1
X8NN,66,0.5,188,0.49,202,0.01,,94.22,5/5/24,1
Z78V,99,0.38,238,0.15,200,0.47,,93.42,5/5/24,1
GG3K,76,0.8,324,0.19,295,0.01,,99.85,5/5/24,1
L452,26,0.14,362,0.22,137,0.64,Freezing for 20 min,97.92,5/5/24,1
86OA,90,0.01,224,0.66,111,0.33,50°C for 10 min,95.11,5/5/24,1
AT8O,1,0.13,39,0.48,100,0.39,70°C for 10 min,98.77,5/5/24,1
6DLB,3,0.61,23,0.38,87,0.01,,92.16,5/5/24,1
GN33,167,0.72,405,0.27,123,0.01,20°C for 60 min,95.81,5/5/24,1
85ZT,114,0.53,429,0.46,252,0.01,,98.67,5/5/24,1
A3JB,78,0.26,472,0.1,5,0.64,,66.21,5/5/24,1
XKEA,79,0.07,43,0.1,275,0.83,50°C for 10 min,99.24,5/5/24,1
KDRL,90,0.18,145,0.35,253,0.47,Freezing for 20 min,95.71,5/5/24,1
02Z5,45,0.31,144,0.68,287,0.01,Freezing for 20 min,92.25,5/5/24,1
3DFU,147,0.13,410,0.86,156,0.01,,92,5/5/24,1
8ZS4,63,0.36,207,0.63,10,0.01,,90.5,5/5/24,1
57C9,116,0.43,167,0.56,120,0.01,70°C for 10 min,97.07,5/5/24,1
KQ9V,27,0.23,408,0.19,46,0.58,,93.2,5/5/24,1
3R7C,8,0.2,18,0.72,112,0.08,50°C for 10 min,65.31,5/5/24,1
29VF,31,0.73,346,0.26,188,0.01,,90.63,5/5/24,1
E03Q,75,0.76,393,0.23,236,0.01,,90.57,5/5/24,1
ZSLC,28,0.03,111,0.14,124,0.83,,97.48,5/5/24,1
5N5C,138,0.67,211,0.03,181,0.3,,99.67,5/5/24,1
4KFV,34,0.84,385,0.15,75,0.01,,95.19,5/5/24,1
FKU8,167,0.23,63,0.75,149,0.02,Steaming,98.12,5/5/24,1
K5RU,165,0.64,456,0.35,254,0.01,,41.64,5/5/24,1
4AI8,57,0.55,124,0.44,136,0.01,,94.99,5/5/24,1
I1E7,90,0.78,101,0.03,198,0.19,50°C for 10 min,94.82,5/5/24,1
H2P8,144,0.7,30,0.07,256,0.23,,61.91,5/5/24,1
NXIC,85,0.25,142,0.53,249,0.22,50°C for 10 min,95.29,5/5/24,1
O56Z,12,0.77,65,0.22,233,0.01,,96.26,5/5/24,1
6KVK,55,0.77,449,0.22,299,0.01,20°C for 60 min,97.97,5/5/24,1
RN1P,100,0.92,88,0.07,109,0.01,,98.94,5/5/24,1
W1Q7,167,0.94,273,0.05,36,0.01,70°C for 10 min,95.03,5/5/24,1
NGKO,12,0.58,361,0.41,1,0.01,Steaming,97.41,5/5/24,1
S81H,38,0.96,425,0.03,183,0.01,,99.25,5/5/24,1
OOY3,191,0.33,470,0.66,131,0.01,50°C for 10 min,90.42,5/5/24,1
RD2U,66,0.39,450,0.14,271,0.47,,97.64,5/5/24,1
ZH5S,78,0.65,408,0.34,68,0.01,,90.03,5/5/24,1
AKWL,140,0.94,69,0.05,162,0.01,Steaming,93.76,5/5/24,1
4WVH,78,0.66,11,0.33,287,0.01,50°C for 10 min,95.72,5/5/24,1
TOVT,45,0.02,307,0.33,242,0.65,,93.72,5/5/24,1
5JHH,198,0.95,491,0.04,75,0.01,,92.97,5/5/24,1
MHLS,102,0.29,313,0.54,19,0.17,Freezing for 20 min,39.76,5/5/24,1
5V7P,78,0.91,126,0.06,29,0.03,,92.99,5/5/24,1
0PEH,156,0.35,192,0.64,189,0.01,,91.48,5/5/24,1
P2JJ,18,0.79,180,0.2,111,0.01,,95.61,5/5/24,1
LD1E,184,0.94,436,0.05,51,0.01,20°C for 60 min,90.09,5/5/24,1
LYZR,167,0.55,21,0.31,22,0.14,,98.71,5/5/24,1
A8R1,78,0.78,85,0.21,92,0.01,,99.42,5/5/24,1
NOQ4,41,0.46,346,0.35,273,0.19,,93.91,5/5/24,1
7IVI,173,0.37,77,0.62,274,0.01,,93.15,5/5/24,1
H33N,198,0.52,322,0.47,155,0.01,,96.96,5/5/24,1
Y1CQ,12,0.38,183,0.61,89,0.01,20°C for 60 min,90.32,5/5/24,1
3G23,198,0.66,437,0.05,164,0.29,,50.14,5/5/24,1
F951,78,0.75,352,0.24,73,0.01,,95.39,5/5/24,1
YRVS,167,0.27,121,0.22,37,0.51,,90.87,5/5/24,1
X4CF,90,0.03,173,0.18,145,0.79,,94.14,5/5/24,1
ZRI7,102,0.76,389,0.23,109,0.01,,98.99,5/5/24,1
NVA0,105,0.5,314,0.49,244,0.01,,92.55,5/5/24,1
LF26,198,0.47,94,0.52,178,0.01,Freezing for 20 min,93.27,5/5/24,1
J03D,130,0.15,472,0.47,286,0.38,,94.53,5/5/24,1
N4XH,60,0.44,371,0.14,68,0.42,,95.06,5/5/24,1
2VVY,129,0.42,478,0.31,240,0.27,Steaming,98.13,5/5/24,1
2VNJ,15,0.5,283,0.49,114,0.01,,97.82,5/5/24,1
733K,70,0.79,303,0.2,276,0.01,,95.26,5/5/24,1
HRX1,37,0.44,440,0.3,244,0.26,50°C for 10 min,98.15,5/5/24,1
9SNE,124,0.64,170,0.35,185,0.01,,92.17,5/5/24,1
SI5B,104,0.4,136,0.29,242,0.31,,91.58,5/5/24,1
G8G3,146,0.98,172,0.01,150,0.01,,94.87,5/5/24,1
ABT0,72,0.75,485,0.24,31,0.01,,93.08,5/5/24,1
YQYY,198,0.56,157,0.08,117,0.36,,97.7,5/5/24,1
9IJQ,67,0.24,190,0.75,239,0.01,70°C for 10 min,93.52,5/5/24,1
T5Q8,12,0.47,112,0.52,194,0.01,,93.33,5/5/24,1
NCOI,54,0.01,329,0.92,184,0.07,Freezing for 20 min,90.14,5/5/24,1
K0KZ,129,0.49,54,0.5,38,0.01,,82.94,5/5/24,1
A5L1,155,0.29,64,0.7,236,0.01,,99.38,5/5/24,1
R3QM,46,0.76,366,0.18,296,0.06,Freezing for 20 min,94.84,5/5/24,1
0YX6,161,0.57,381,0.32,228,0.11,,97.61,5/5/24,1
6H61,71,0.49,129,0.5,298,0.01,,91.59,5/5/24,1
YSPN,35,0.05,389,0.94,269,0.01,,94.24,5/5/24,1
AH20,28,0.89,329,0.1,268,0.01,70°C for 10 min,92.18,5/5/24,1
3DJT,167,0.91,244,0.08,154,0.01,Steaming,98.64,5/5/24,1
ZGP6,45,0.61,260,0.03,275,0.36,,99.28,5/5/24,1
DN4I,45,0.54,66,0.45,261,0.01,,90.54,5/5/24,1
4ZPV,179,0.12,443,0.09,257,0.79,,92.34,5/5/24,1
ZXHM,78,0.67,388,0.14,86,0.19,,96.89,5/5/24,1
MSDN,198,0.92,406,0.07,183,0.01,,92.59,5/5/24,1
HO42,53,0.49,228,0.5,154,0.01,,96.19,5/5/24,1
BR9U,138,0.23,396,0.69,255,0.08,,93.84,5/5/24,1
XPEY,43,0.78,174,0.21,186,0.01,,99.68,5/5/24,1
ZNM8,42,0.74,371,0.25,22,0.01,Steaming,94.44,5/5/24,1
10WU,167,0.69,87,0.3,219,0.01,,92.38,5/5/24,1
8BAP,190,0.93,261,0.06,282,0.01,,97.18,5/5/24,1
68AN,182,0.75,358,0.24,80,0.01,,95.81,5/5/24,1
27AT,167,0.2,334,0.08,161,0.72,,24.65,5/5/24,1
DD0X,118,0.2,327,0.58,74,0.22,,98.82,5/5/24,1
HMK1,21,0.22,293,0.66,85,0.12,,92.05,5/5/24,1
HPY3,71,0.96,2,0.03,137,0.01,50°C for 10 min,98.43,5/5/24,1
8O9J,56,0.95,19,0.04,29,0.01,,94.28,5/5/24,1
3QOH,48,0.3,232,0.69,186,0.01,20°C for 60 min,95.12,5/5/24,1
FTWP,198,0.63,234,0.36,149,0.01,,99.63,5/5/24,1
OV3N,31,0.76,422,0.23,94,0.01,,90.33,5/5/24,1
AIMJ,90,0.16,361,0.83,204,0.01,,93.8,5/5/24,1
W2XD,190,0.02,7,0.14,230,0.84,,48.56,5/5/24,1
02L7,12,0.26,453,0.14,27,0.6,,93.27,5/5/24,1
Y2ST,152,0.93,242,0.06,169,0.01,Steaming,90.11,5/5/24,1
ACGP,125,0.34,48,0.22,181,0.44,Freezing for 20 min,99.93,5/5/24,1
RCAR,77,0.62,30,0.37,230,0.01,,44.68,5/5/24,1
7B92,193,0.69,22,0.3,129,0.01,50°C for 10 min,92.31,5/5/24,1
EGPU,71,0.64,180,0.12,74,0.24,,99.47,5/5/24,1
D6UA,41,0.31,395,0.68,128,0.01,,94.61,5/5/24,1
B59I,146,0.7,108,0.24,78,0.06,,90.77,5/5/24,1
XZ1Y,70,0.18,170,0.58,197,0.24,,96.35,5/5/24,1
TFFS,58,0.25,296,0.74,194,0.01,Steaming,97.97,5/5/24,1
48UR,191,0.56,334,0.11,225,0.33,,95.35,5/5/24,1
K6IK,63,0.47,220,0.34,209,0.19,,94.09,5/5/24,1
COAM,116,0.94,345,0.05,22,0.01,,91.43,5/5/24,1
FO9P,137,0.04,468,0.5,154,0.46,,94.96,5/5/24,1
LLM6,92,0.33,330,0.24,184,0.43,50°C for 10 min,98.69,5/5/24,1
VMO9,64,0.74,287,0.25,262,0.01,20°C for 60 min,92.98,5/5/24,1
THED,107,0.4,139,0.39,289,0.21,,81.33,5/5/24,1
K2CB,79,0.74,357,0.25,108,0.01,,95.53,5/5/24,1
XV4S,10,0.56,31,0.43,194,0.01,50°C for 10 min,98.8,5/5/24,1
8IBC,64,0.91,466,0.08,89,0.01,,91.48,5/5/24,1
UEXS,119,0.65,476,0.34,297,0.01,,97.7,5/5/24,1
WYGY,4,0.48,122,0.51,266,0.01,,87.91,5/5/24,1
04TU,135,0.39,378,0.17,120,0.44,,93.19,5/5/24,1
LH22,9,0.64,459,0.35,210,0.01,,99.84,5/5/24,1
QVRU,113,0.23,134,0.44,85,0.33,,91,5/5/24,1
J06U,12,0.29,83,0.45,53,0.26,,98.82,5/5/24,1
7O83,169,0.61,491,0.08,52,0.31,,96.97,5/5/24,1
9OZ2,186,0.74,409,0.14,202,0.12,,68.72,5/5/24,1
G6U2,126,0.63,336,0.1,216,0.27,20°C for 60 min,97.38,5/5/24,1
YX6R,25,0.94,445,0.05,279,0.01,,96.36,5/5/24,1
P7ZO,184,0.95,313,0.04,37,0.01,,94.91,5/5/24,1
7HE9,147,0.27,58,0.44,136,0.29,,98.72,5/5/24,1
C7WD,178,0.73,104,0.26,27,0.01,,93.69,5/5/24,1
5QXL,90,0.15,396,0.06,43,0.79,50°C for 10 min,95.98,5/5/24,1
OXMS,84,0.81,28,0.18,283,0.01,,98.91,5/5/24,1
BHEN,120,0.5,228,0.02,41,0.48,,96.53,5/5/24,1
13QJ,90,0.8,299,0.19,87,0.01,,94.35,5/5/24,1
QJMR,36,0.85,300,0.14,227,0.01,,92.32,5/5/24,1
900Q,167,0.04,413,0.39,286,0.57,,94.96,5/5/24,1
L4W3,42,0.3,263,0.38,77,0.32,,28.99,5/5/24,1
3XSH,152,0.88,250,0.11,179,0.01,Steaming,90.99,5/5/24,1
CL8L,181,0.18,432,0.59,268,0.23,,93.31,5/5/24,1
CB2O,104,0.39,81,0.6,153,0.01,Freezing for 20 min,99.47,5/5/24,1
AUWK,49,0.78,347,0.21,110,0.01,,99.07,5/5/24,1
S3Y0,6,0.73,142,0.26,86,0.01,,96.68,5/5/24,1
ZZAB,137,0.8,358,0.11,124,0.09,Freezing for 20 min,97.82,5/5/24,1
ZTAG,110,0.69,300,0.3,197,0.01,,99.67,5/5/24,1
103X,144,0.63,72,0.36,142,0.01,,93.31,5/5/24,1
XS1A,197,0.26,454,0.05,101,0.69,,91.25,5/5/24,1
9AVT,90,0.12,352,0.82,56,0.06,,98.68,5/5/24,1
FYC9,141,0.49,261,0.42,66,0.09,,91.27,5/5/24,1
1YRM,29,0.35,471,0.64,25,0.01,,95.71,5/5/24,1
Z66S,28,0.63,16,0.36,111,0.01,50°C for 10 min,92.69,5/5/24,1
1IQV,94,0.9,36,0.09,26,0.01,,52.22,5/5/24,1
3JET,119,0.22,57,0.33,181,0.45,,90.77,5/5/24,1
01RI,198,0.02,400,0.2,116,0.78,,98.02,5/5/24,1
XDKL,114,0.61,77,0.26,107,0.13,,90.88,5/5/24,1
QOUF,188,0.25,415,0.12,287,0.63,70°C for 10 min,95.06,5/5/24,1
YI4S,163,0.08,324,0.02,114,0.9,70°C for 10 min,96.3,5/5/24,1
OINZ,183,0.81,300,0.18,231,0.01,,97.75,5/5/24,1
LB9Z,172,0.88,497,0.02,97,0.1,,94.45,5/5/24,1
7GOI,107,0.24,422,0.46,32,0.3,,97.29,5/5/24,1
K6S6,1,0.14,432,0.54,214,0.32,20°C for 60 min,92.72,5/5/24,1
DXK6,90,0.69,50,0.2,155,0.11,70°C for 10 min,97.73,5/5/24,1
2Z4O,45,0.28,151,0.11,139,0.61,,96.64,5/5/24,1
RAEM,144,0.11,441,0.34,72,0.55,,90.06,5/5/24,1
Z3NH,44,0.8,76,0.19,94,0.01,,95.03,5/5/24,1
F79U,90,0.02,227,0.89,60,0.09,,95.85,5/5/24,1
Q97L,7,0.3,312,0.59,22,0.11,,99.51,5/5/24,1
DIKS,15,0.26,34,0.7,121,0.04,,31.92,5/5/24,1
F36M,78,0.83,192,0.16,4,0.01,,91.47,5/5/24,1
U2FJ,148,0.15,194,0.04,275,0.81,70°C for 10 min,99.54,5/5/24,1
2V42,142,0.24,437,0.19,267,0.57,,96.33,5/5/24,1
QL7Y,86,0.43,276,0.27,147,0.3,,95.32,5/5/24,1
FT9K,42,0.25,133,0.03,187,0.72,,90.45,5/5/24,1
WDIY,63,0.76,269,0.23,47,0.01,,96.65,5/5/24,1
K6EZ,94,0.5,154,0.49,231,0.01,,96.41,5/5/24,1
6KRY,196,0.08,469,0.82,176,0.1,,98.46,5/5/24,1
PANV,133,0.73,24,0.26,70,0.01,Steaming,95.45,5/5/24,1
R7AX,25,0.05,120,0.48,144,0.47,50°C for 10 min,90.23,5/5/24,1
X2N2,167,0.92,386,0.07,148,0.01,Steaming,61.04,5/5/24,1
HZM4,145,0.9,495,0.09,91,0.01,20°C for 60 min,99.42,5/5/24,1
ATML,180,0.88,121,0.11,136,0.01,,90.04,5/5/24,1
NT3X,125,0.72,440,0.12,279,0.16,,95.73,5/5/24,1
7GTT,64,0.85,172,0.14,126,0.01,70°C for 10 min,92.81,5/5/24,1
EXXG,169,0.68,136,0.14,222,0.18,,98.25,5/5/24,1
90OX,116,0.94,408,0.05,22,0.01,,95.02,5/5/24,1
I3AU,144,0.55,376,0.44,213,0.01,,91.68,5/5/24,1
ZD6M,90,0.66,258,0.11,285,0.23,50°C for 10 min,94.46,5/5/24,1
1EPJ,167,0.43,148,0.56,149,0.01,,96.24,5/5/24,1
K3WI,129,0.88,75,0.11,188,0.01,,96.34,5/5/24,1
MW54,181,0.2,170,0.79,162,0.01,50°C for 10 min,94.31,5/5/24,1
D32M,75,0.11,80,0.26,96,0.63,70°C for 10 min,93.23,5/5/24,1
LSH2,169,0.76,30,0.23,167,0.01,,90.19,5/5/24,1
SD3Q,163,0.21,102,0.3,287,0.49,,90.38,5/5/24,1
S1OU,78,0.3,351,0.49,204,0.21,,96.72,5/5/24,1
BTJH,177,0.89,449,0.1,235,0.01,,21.09,5/5/24,1
9RQC,120,0.22,173,0.41,166,0.37,Freezing for 20 min,90.46,5/5/24,1
1ITL,78,0.27,76,0.07,227,0.66,,99.47,5/5/24,1
5TIO,55,0.16,317,0.11,160,0.73,Steaming,90.75,5/5/24,1
I8CZ,15,0.83,294,0.16,72,0.01,70°C for 10 min,92.55,5/5/24,1
YXTX,16,0.91,86,0.08,21,0.01,Steaming,92.55,5/5/24,1
IQGM,162,0.66,359,0.05,145,0.29,,95.98,5/5/24,1
2VQZ,78,0.09,43,0.63,21,0.28,,99.45,5/5/24,1
N7EU,102,0.08,236,0.13,141,0.79,Steaming,93.91,5/5/24,1
KVOZ,167,0.2,134,0.69,112,0.11,,97.82,5/5/24,1
W11R,137,0.32,21,0.02,18,0.66,Freezing for 20 min,90.56,5/5/24,1
HXDU,194,0.61,479,0.38,216,0.01,Steaming,94.98,5/5/24,1
X9IN,102,0.31,284,0.18,243,0.51,,97,5/5/24,1
J245,21,0.06,31,0.29,89,0.65,,90.56,5/5/24,1
EGKW,74,0.28,219,0.06,40,0.66,Freezing for 20 min,94.52,5/5/24,1
3JQH,28,0.68,472,0.31,116,0.01,,93.67,5/5/24,1
AVEA,152,0.16,296,0.44,250,0.4,,55.2,5/5/24,1
3GHI,90,0.03,107,0.77,180,0.2,,95.35,5/5/24,1
FF72,12,0.32,107,0.67,255,0.01,,97.7,5/5/24,1
EXFP,5,0.73,76,0.26,36,0.01,Freezing for 20 min,83.01,5/5/24,1
31MH,12,0.72,292,0.25,264,0.03,,92.94,5/5/24,1
1V0G,141,0.83,397,0.16,39,0.01,,94.74,5/5/24,1
WCZ7,44,0.19,173,0.8,17,0.01,,91.62,5/5/24,1
FAUC,160,0.06,126,0.42,202,0.52,,92.93,5/5/24,1
GIAA,99,0.56,176,0.19,176,0.25,,90.1,5/5/24,1
SVSB,117,0.73,411,0.26,251,0.01,,90.69,5/5/24,1
HDZE,36,0.03,89,0.83,238,0.14,,46.55,5/5/24,1
SUYG,177,0.01,229,0.88,294,0.11,,90.34,5/5/24,1
EAOC,90,0.07,237,0.92,30,0.01,,91.6,5/5/24,1
QRJX,82,0.09,357,0.7,157,0.21,,96.69,5/5/24,1
32J3,165,0.85,201,0.14,210,0.01,,95.48,5/5/24,1
YAOA,9,0.74,230,0.25,160,0.01,50°C for 10 min,96.84,5/5/24,1
7T24,101,0.37,168,0.04,27,0.59,70°C for 10 min,96.64,5/5/24,1
EFVM,145,0.13,14,0.21,277,0.66,,94.49,5/5/24,1
VAIX,165,0.11,356,0.45,249,0.44,,98.65,5/5/24,1
25G2,32,0.56,4,0.4,18,0.04,Steaming,98.24,5/5/24,1
9EZX,78,0.5,44,0.49,261,0.01,,97.1,5/5/24,1
TZ72,67,0.49,57,0.04,132,0.47,,96.77,5/5/24,1
HZWK,198,0.55,385,0.38,158,0.07,,93.34,5/5/24,1
340Q,149,0.88,217,0.11,195,0.01,Steaming,77.67,5/5/24,1
98GX,85,0.62,24,0.37,45,0.01,,96.24,5/5/24,1
WSUA,45,0.8,486,0.19,5,0.01,,72.05,5/5/24,1
ETTB,37,0.05,126,0.87,203,0.08,50°C for 10 min,93.76,5/5/24,1
JX9F,199,0.68,51,0.31,170,0.01,,97.96,5/5/24,1
2K87,118,0.8,98,0.13,122,0.07,,94.09,5/5/24,1
8PV2,146,0.89,93,0.1,30,0.01,,24.59,5/5/24,1
R4GS,33,0.64,319,0.02,138,0.34,,92.04,5/5/24,1
2ALD,152,0.82,334,0.17,169,0.01,,98.81,5/5/24,1
FBDU,45,0.92,164,0.07,94,0.01,,92.03,5/5/24,1
QVPB,156,0.49,98,0.04,6,0.47,Steaming,94.07,5/5/24,1
373K,187,0.4,16,0.59,70,0.01,,89.28,5/5/24,1
7IY1,78,0.79,500,0.2,181,0.01,,97.78,5/5/24,1
4IA2,184,0.74,329,0.17,297,0.09,70°C for 10 min,99.23,5/5/24,1
S2O6,90,0.72,54,0.27,74,0.01,,97.71,5/5/24,1
USSP,167,0.45,29,0.54,270,0.01,,91.79,5/5/24,1
ZSRC,90,0.8,304,0.03,168,0.17,50°C for 10 min,98.39,5/5/24,1
FUZ7,29,0.47,45,0.52,152,0.01,,94.04,5/5/24,1
RFDL,140,0.26,323,0.73,8,0.01,50°C for 10 min,93.15,5/5/24,1
2BBR,68,0.35,40,0.46,55,0.19,,97.93,5/5/24,1
AM7I,12,0.32,87,0.66,142,0.02,,91.99,5/5/24,1
55VU,136,0.82,301,0.17,250,0.01,70°C for 10 min,92.28,5/5/24,1
5CLE,117,0.22,330,0.64,35,0.14,Steaming,95.97,5/5/24,1
PFPS,191,0.09,257,0.32,264,0.59,Freezing for 20 min,98.74,5/5/24,1
BCDZ,14,0.31,14,0.68,195,0.01,Steaming,98.9,5/5/24,1
K3XL,87,0.02,117,0.43,70,0.55,,93.49,5/5/24,1
8KVW,45,0.27,277,0.72,279,0.01,70°C for 10 min,92.54,5/5/24,1
OXW0,92,0.85,401,0.14,72,0.01,,91.41,5/5/24,1
D6SC,168,0.12,43,0.4,224,0.48,,91.45,5/5/24,1
